umls_code,mesh_code
C0014175,D004715
C0014324,D004749
C0014335,D004751
C0014356,D004760
C0014378,D004769
C0014457,D004802
C0014458,D004802
C0014474,D004806
C0014476,D009175
C0014518,D013262
C0014522,D004819
C0014527,D004820
C0014544,D004827
C0014547,D004828
C0014548,D004829
C0014549,D004830
C0014550,D004831
C0014553,D004832
C0014556,D004833
C0014558,D004833
C0014591,D004844
C0014742,D004892
C0014799,D010267
C0014804,D004916
C0014805,D004916
C0014836,D004927
C0014848,D004931
C0014849,D004932
C0014852,D004935
C0014859,D004938
C0014866,D004940
C0014867,D004932
C0014868,D004941
C0014869,D004942
C0015230,D005076
C0015306,D005097
C0015371,D001480
C0015378,D005119
C0015393,D005124
C0015397,D005128
C0015398,D015785
C0015404,D015818
C0015423,D005141
C0015456,D005148
C0015469,D005158
C0015499,D005166
C0015503,D005168
C0015519,D005171
C0015523,D005173
C0015526,D005175
C0015530,D005177
C0015544,D005183
C0015624,D005198
C0015625,D005199
C0015644,D005207
C0015672,D005221
C0015695,D005234
C0015696,D005235
C0015697,D058226
C0015702,D005236
C0015704,D005148
C0015814,D005271
C0015923,D063647
C0015929,D005315
C0015930,D005316
C0015934,D005317
C0015951,D005327
C0015967,D005334
C0016037,D009221
C0016045,D005350
C0016048,D005350
C0016057,D005354
C0016059,D005355
C0016064,D005358
C0016065,D005359
C0016202,D005413
C0016325,D005458
C0016382,D005483
C0016395,D005489
C0016412,D005494
C0016427,D005497
C0016470,D005512
C0016479,D005517
C0016506,D005530
C0016508,D005532
C0016579,D010292
C0016667,D005600
C0016689,D008548
C0016719,D005621
C0016722,D020018
C0016751,D005633
C0016756,D015319
C0016781,D005642
C0016788,D005645
C0016952,D005693
C0016978,D005706
C0016995,D005715
C0017097,D005736
C0017145,D004932
C0017150,D015408
C0017154,D005757
C0017160,D005759
C0017162,D005761
C0017168,D005764
C0017178,D005767
C0017181,D006471
C0017185,D005770
C0017205,D005776
C0017332,D004829
C0017412,D005832
C0017416,D005833
C0017495,D016098
C0017531,D005871
C0017551,D005878
C0017566,D005885
C0017567,D005886
C0017601,D005901
C0017605,D015812
C0017612,D005902
C0017614,D009798
C0017636,D005909
C0017638,D005910
C0017639,D005911
C0017658,D005921
C0017661,D005922
C0017662,D015432
C0017665,D015433
C0017668,D005923
C0017689,D005935
C0017919,D006008
C0017920,D005953
C0017921,D006009
C0017922,D006010
C0017923,D006011
C0017924,D006012
C0017925,D006013
C0017926,D006014
C0018021,D006042
C0018036,D006978
C0018051,D006059
C0018054,D006061
C0018055,D006060
C0018099,D006073
C0018128,D006083
C0018133,D006086
C0018179,D003317
C0018193,D015745
C0018199,D006104
C0018200,D015769
C0018203,D006105
C0018206,D006106
C0018213,D006111
C0018245,D003317
C0018273,D006130
C0018378,D020275
C0018413,D018312
C0018418,D006177
C0018425,D015799
C0018500,D006201
C0018520,D006209
C0018522,D006210
C0018523,D006211
C0018524,D006212
C0018552,D006222
C0018553,D006223
C0018564,D006226
C0018566,D006228
C0018598,D008546
C0018609,D006250
C0018614,D002189
C0018621,D006255
C0018671,D006258
C0018672,D019956
C0018675,D006258
C0018681,D006261
C0018777,D006314
C0018781,D006317
C0018784,D006319
C0018790,D006323
C0018794,D006327
C0018798,D006330
C0018799,D006331
C0018800,D006332
C0018801,D006333
C0018802,D006333
C0018814,D006342
C0018816,D006343
C0018817,D006344
C0018818,D006345
C0018824,D006349
C0018834,D006356
C0018916,D006391
C0018922,D006393
C0018923,D006394
C0018932,D006471
C0018939,D006402
C0018944,D006406
C0018946,D006408
C0018965,D006417
C0018975,D014786
C0018984,D008881
C0018989,D010291
